date,incidence,estimated_incidence
2019-10-01,2351,3313.4705894420704
2019-11-01,2779,4113.24470303429
2019-12-01,1830,4446.36142484141
2020-01-01,6833,4218.251869127229
2020-02-01,5170,3538.233733117975
2020-03-01,2323,2642.521566999145
2020-04-01,878,1768.9388815641687
2020-05-01,487,1068.057445342427
2020-06-01,257,585.0964313621043
2020-07-01,253,292.4309604531809
2020-08-01,170,134.04610389489972
2020-09-01,177,56.63191147921316
2020-10-01,169,22.15462639884936
2020-11-01,185,8.06062021015532
2020-12-01,281,2.7388601164566353
