date,observed_incidence,inc_median,inc_lower,inc_upper
2019-10-01,2351,1760.870582163848,1748.4511082576707,1775.7145635039733
2019-11-01,2779,2598.790777837516,2568.384726122046,2633.159764722639
2019-12-01,1830,3322.0221922932055,3274.371520831286,3373.936801181427
2020-01-01,6833,3683.6355578395264,3627.8849704523595,3742.4355366357227
2020-02-01,5170,3551.694932390128,3499.2806246844325,3605.520317418389
2020-03-01,2323,2982.0258820886356,2940.0485191294983,3025.7430993107064
2020-04-01,878,2189.7001605977134,2152.0175114369745,2225.458699138524
2020-05-01,487,1407.7689122058998,1376.5337852556686,1437.5192398693587
2020-06-01,257,795.2036912097417,771.601218673613,819.1474133566877
2020-07-01,253,396.57920615174504,380.78024928882724,413.3004275584289
2020-08-01,170,175.11117557721582,165.8110508340972,185.25217425198275
2020-09-01,177,68.70282348328115,64.10069569687177,73.7424380184264
2020-10-01,169,24.10561953105974,22.13266380555104,26.271632637665405
2020-11-01,185,7.589211049521769,6.831330685051814,8.432618911658267
2020-12-01,281,2.1583656992692073,1.9088151761862857,2.4447376260851037
